ID,店舗名,よみがな,エリア,カテゴリ,タイプ,特徴バッジ,キャッチコピー,酔いどれセット名,セット内容,価格(円),チャージ,提供日,提供時間,限定数,備考・注意事項,イベント情報,決済方法,Google Map URL
store-01,Tようび,てぃーようび,三軒家西,おばんざい,食事向け,初心者歓迎,牛すじとお酒とおばんざい,酔いどれ伝説の生ビール＆極上どて焼きセット,キンキンに冷えた生ビール（中）1杯 ＋ じっくり煮込んだ特製味噌どて焼き2本,1000,込,イベント期間中全日,17:00 - 23:00 (L.O. 22:30),限定30セット / 日,冒険の書（紙）をご提示された方限定。他クーポン併用不可。,パーティークエスト：サイコロで「1」が出たらウーロンハイ1杯サービス！,現金、PayPay、クレジットカード,https://maps.app.goo.gl/zEmF7y9d2rdJpG8a7
store-02,BAR 8-BIT QUEST,ばー はちびっとくえすと,三軒家西,BAR,休憩向け,隠れ家,どこか懐かしいピコピコ音が流れる、大人の隠れ家バー,魔法のカクテル＆スモーキーナッツセット,特製青いポーションカクテル（またはハイボール） ＋ 自家製燻製ナッツ,1200,込,金・土・日・祝,19:00 - 02:00,1日15セット限定,チャージ料金（通常500円）はセット価格に含まれます。,レトロゲームチャレンジ：店主とワンゲーム対戦でチャージ割引！,現金、クレジットカード、電子マネー,https://maps.google.com/?q=大阪府大阪市大正区三軒家西1
store-03,スナック 大正ロマン,すなっく たいしょうろまん,泉尾,スナック,はしご向け,カラオケ有,昭和・大正の情緒漂う商店街の名物ママがいるアットホームスナック,昭和レトロカラオケ＆酔いどれ焼酎セット,こだわり芋・麦焼酎（ロックまたは水割り）2杯 ＋ おまかせ手作りお通し3種盛り ＋ カラオケ1曲無料,1500,込,火〜日曜日,18:00 - 23:30,数量制限なし,混雑時はお席90分制とさせていただきます。,,現金、PayPay,https://maps.google.com/?q=大阪府大阪市大正区泉尾2
store-04,純喫茶＆バル たいしょう,じゅんきっさあんどばる たいしょう,千島,カフェ,休憩向け,カフェ＆バー,昼は濃厚ナポリタン、夜はクラフトビールが楽しめる和洋折衷カフェ,大正浪漫クラフトビール＆厚切りガーリックトーストセット,選べる地ビール1本 ＋ サクサク濃厚ガーリックトースト2切れ,1000,込,水曜日除く毎日,15:00 - 21:00,限定20セット,カフェタイム（15:00〜）から注文可能です。,喫茶クエスチョン：店内のレトロ謎解き成功でミニデザートプレゼント！,現金、PayPay、クレジットカード、電子マネー,https://maps.google.com/?q=大阪府大阪市大正区千島1
store-05,ホルモン焼肉 酔魔神,ほるもんやきにく よいまじん,平尾,焼肉,食事向け,ガッツリ系,秘伝のタレと新鮮ホルモン！スタミナ回復ならここにおまかせ！,スタミナ回復！メガハイボール＆ホルモン3種盛りセット,メガ角ハイボール ＋ 本日の新鮮ホルモン3種（塩タン・ハツ・ミノ）,1300,別,木〜火曜日 (水曜定休),17:00 - 22:30,限定25セット,別途ワンドリンク制ではありませんが、テーブルチャージ200円が加算されます。,肉くじクエスト：特賞は「極上A5カルビ1皿無料券」！,現金、PayPay,https://maps.google.com/?q=大阪府大阪市大正区平尾3
store-06,お好み焼き 鉄板クエスト,おこのみやき てっぱんくえすと,三軒家西,お好み焼き,食事向け,粉もん,外はカリッ、中はふわふわ！大正名物のすじkon焼きが自慢,大正名物すじコン焼き＆こだわりチューハイセット,名物すじコン玉（ミニサイズ） ＋ プレーンチューハイ（またはソフトドリンク）,1000,込,毎日営業,16:30 - 22:00,限定30セット,テイクアウトも可能です（箱代別途50円）。,,現金、PayPay、QR決済,https://maps.google.com/?q=大阪府大阪市大正区三軒家西2
store-07,ダイニング ギルドバル,だいにんぐ ぎるどばる,駅前エリア,ダイニング,食事向け,おしゃれバル,洋風バルメニューと厳選ワインが揃う、冒険者たちの宴会場,ギルド特製生ハム盛り合わせ＆グラスワインセット,スパークリングまたは赤・白ワイン1グラス ＋ スペイン産生ハムとチーズ盛り合わせ,1200,込,火〜日曜日,17:30 - 23:00,1日20セット,テーブル席・カウンター席どちらでも利用いただけます。,パーティークエスト：4人以上のパーティ来店でボトルワイン1本半額！,現金、クレジットカード、PayPay、電子マネー,https://maps.google.com/?q=大阪府大阪市大正区三軒家東2
store-08,海鮮居酒屋 昭和横丁,かいせんいざかや しょうわよこちょう,泉尾,居酒屋,はしご向け,鮮魚直送,毎朝市場から仕入れる新鮮な魚介と日本酒が勢ぞろい！,本日の厳選お刺身3種盛り＆冷酒ぐい呑みセット,おすすめ地酒1杯 ＋ 旬の鮮魚お刺身3種盛り,1000,込,月〜土曜日,17:00 - 22:30,限定20セット,仕入れ状況により刺身の内容が変わります。,,現金、PayPay,https://maps.google.com/?q=大阪府大阪市大正区泉尾1
store-09,クラフトBAR クラーケン,くらふとばー くらーけん,千島,BAR,はしご向け,クラフトビール,世界のクラフトビールが常時8种タップで味わえる本格タップルーム,選べるクラフトビールハーフパイント＆フィッシュ＆チップス,本日のタップからお好きなビール（ハーフパイント） ＋ サクサク自家製フィッシュ＆チップス（小）,1100,込,水〜日曜日,18:00 - 00:00,限定15セット,チャージなし。,ダーククエスト：黒ビールご注文でオリジナルステッカープレゼント！,現金、クレジットカード、電子マネー,https://maps.google.com/?q=大阪府大阪市大正区千島2
store-10,沖縄ダイニング 琉球クエスト,おきなわだいにんぐ りゅうきゅうくえすと,平尾,ダイニング,食事向け,沖縄料理,「リトル沖縄」大正区ならではの本格沖縄料理と泡盛の店,オリオン生ビール＆じっくり煮込んだラフテーセット,オリオン生ビール1杯 ＋ とろとろ自家製ラフテー（豚角煮）,1000,込,全日,17:00 - 23:00,限定30セット,泡盛への変更も可能です。,三線ライブクエスト：毎週土曜夜は三線ライブ開催！盛り上がろう！,現金、PayPay、クレジットカード,https://maps.google.com/?q=大阪府大阪市大正区平尾2
